entrada,saida,formato_completo
"faça 76 centimetros para atrás, após isso 6 centimetros do lado esquerdo",76B6L,"[faça 76 centimetros para atrás, após isso 6 centimetros do lado esquerdo → 76B6L]"
vá 69 para atrás e 36 para retroceder,69B36B,[vá 69 para atrás e 36 para retroceder → 69B36B]
mova 73 cm avante após isso 8 cm lado esquerdo após isso 54 cm atrás,73F8L54B,[mova 73 cm avante após isso 8 cm lado esquerdo após isso 54 cm atrás → 73F8L54B]
"siga 83 para frente, 30 para direito e 41 para trás",83F30R41B,"[siga 83 para frente, 30 para direito e 41 para trás → 83F30R41B]"
vá 56 direita,56R,[vá 56 direita → 56R]
30 mm pra trás,30B,[30 mm pra trás → 30B]
mova-se 66 para esquerda e 69 para retroceder,66L69B,[mova-se 66 para esquerda e 69 para retroceder → 66L69B]
ande 99 centimetros para frente,99F,[ande 99 centimetros para frente → 99F]
desloque 84 centimetros à direita,84R,[desloque 84 centimetros à direita → 84R]
move na direção de atrás 65 centimetros,65B,[move na direção de atrás 65 centimetros → 65B]
realize deslocamento de 6 centímetros para atrás,6B,[realize deslocamento de 6 centímetros para atrás → 6B]
movimente 8 cm pra trás,8B,[movimente 8 cm pra trás → 8B]
6 passos na direção retroceder,6B,[6 passos na direção retroceder → 6B]
"faça 90 centimetros recuar, depois 93 centimetros do lado direito",90B93R,"[faça 90 centimetros recuar, depois 93 centimetros do lado direito → 90B93R]"
"faça 8 metros para a esquerda, então 100 metros lado esquerdo",8L100L,"[faça 8 metros para a esquerda, então 100 metros lado esquerdo → 8L100L]"
desloque-se 52 para trás e posteriormente 44 do lado direito,52B44R,[desloque-se 52 para trás e posteriormente 44 do lado direito → 52B44R]
vai 66 centimetro à direita,66R,[vai 66 centimetro à direita → 66R]
faça movimento direita de 67 mm,67R,[faça movimento direita de 67 mm → 67R]
"faça 29 centímetros pra trás, então 42 centímetros para a direita",29B42R,"[faça 29 centímetros pra trás, então 42 centímetros para a direita → 29B42R]"
realize movimento de 56 adiante seguido de 44 lado esquerdo,56F44L,[realize movimento de 56 adiante seguido de 44 lado esquerdo → 56F44L]
realize deslocamento de 47 mm trás,47B,[realize deslocamento de 47 mm trás → 47B]
proceda 18 centímetro em frente,18F,[proceda 18 centímetro em frente → 18F]
"59 recuar, 82 na frente",59B82F,"[59 recuar, 82 na frente → 59B82F]"
"63 para trás, 33 frente",63B33F,"[63 para trás, 33 frente → 63B33F]"
"primeiro 41 pra trás, depois 74 adiante",41B74F,"[primeiro 41 pra trás, depois 74 adiante → 41B74F]"
ande 77cm atrás,77B,[ande 77cm atrás → 77B]
realize movimento de 42 para atrás seguido de 76 do lado esquerdo,42B76L,[realize movimento de 42 para atrás seguido de 76 do lado esquerdo → 42B76L]
"vá 20 para frente, depois 14 à frente, então 3 frente e finalmente 10 avante",20F14F3F10F,"[vá 20 para frente, depois 14 à frente, então 3 frente e finalmente 10 avante → 20F14F3F10F]"
"17 m em direção à frente, 74 m em direção à direita",17F74R,"[17 m em direção à frente, 74 m em direção à direita → 17F74R]"
realize deslocamento de 43 centímetro em frente,43F,[realize deslocamento de 43 centímetro em frente → 43F]
vá 99unidades à esquerda,99L,[vá 99unidades à esquerda → 99L]
"73 para a esquerda, 26 para atrás",73L26B,"[73 para a esquerda, 26 para atrás → 73L26B]"
mova 17 centímetros para atrás,17B,[mova 17 centímetros para atrás → 17B]
"caminha 60 lado direito, depois 51 para a esquerda, então 2 na frente e finalmente 17 retroceder",60R51L2F17B,"[caminha 60 lado direito, depois 51 para a esquerda, então 2 na frente e finalmente 17 retroceder → 60R51L2F17B]"
realize deslocamento de 77 milímetros direita,77R,[realize deslocamento de 77 milímetros direita → 77R]
vá retroceder 5 passos,5B,[vá retroceder 5 passos → 5B]
desloca 4 centimetro para esquerda,4L,[desloca 4 centimetro para esquerda → 4L]
"primeiro 20 para a direita, depois 59 pra direita",20R59R,"[primeiro 20 para a direita, depois 59 pra direita → 20R59R]"
"sequência completa: 7 centimetros do lado esquerdo, 22 centimetros à esquerda, 54 centimetros retroceder, 21 centimetros na frente",7L22L54B21F,"[sequência completa: 7 centimetros do lado esquerdo, 22 centimetros à esquerda, 54 centimetros retroceder, 21 centimetros na frente → 7L22L54B21F]"
desloque-se 83 m lado esquerdo,83L,[desloque-se 83 m lado esquerdo → 83L]
desloca 8centímetro esquerda,8L,[desloca 8centímetro esquerda → 8L]
movimente 38 centímetros pra esquerda,38L,[movimente 38 centímetros pra esquerda → 38L]
desloque 62 centímetro para esquerda,62L,[desloque 62 centímetro para esquerda → 62L]
dirija-se 9 para atrás e 71 para frente,9B71F,[dirija-se 9 para atrás e 71 para frente → 9B71F]
"21 pra direita, 48 em frente, 82 à direita, 5 pra trás",21R48F82R5B,"[21 pra direita, 48 em frente, 82 à direita, 5 pra trás → 21R48F82R5B]"
vá 38 para esquerda e 67 para adiante,38L67F,[vá 38 para esquerda e 67 para adiante → 38L67F]
mova 72 centimetro à frente,72F,[mova 72 centimetro à frente → 72F]
movimente 14 cm à frente,14F,[movimente 14 cm à frente → 14F]
locomova-se 98 mm lado esquerdo depois 89 mm para a direita depois 63 mm atrás,98L89R63B,[locomova-se 98 mm lado esquerdo depois 89 mm para a direita depois 63 mm atrás → 98L89R63B]
faça movimento para trás de 32 passos,32B,[faça movimento para trás de 32 passos → 32B]
realize movimento de 83 à frente seguido de 40 voltar,83F40B,[realize movimento de 83 à frente seguido de 40 voltar → 83F40B]
execute movimento de 98 centímetros para a esquerda,98L,[execute movimento de 98 centímetros para a esquerda → 98L]
"18 voltar, 50 em frente, 1 para a esquerda",18B50F1L,"[18 voltar, 50 em frente, 1 para a esquerda → 18B50F1L]"
navegue 22 m para esquerdo,22L,[navegue 22 m para esquerdo → 22L]
36 centimetro pra esquerda,36L,[36 centimetro pra esquerda → 36L]
realize deslocamento de 98 metros lado esquerdo,98L,[realize deslocamento de 98 metros lado esquerdo → 98L]
"51 milímetros em direção a esquerdo, 93 milímetros em direção a frente",51L93F,"[51 milímetros em direção a esquerdo, 93 milímetros em direção a frente → 51L93F]"
navegue 57 lado direito e depois 85 trás,57R85B,[navegue 57 lado direito e depois 85 trás → 57R85B]
28 metros na direção esquerda,28L,[28 metros na direção esquerda → 28L]
"71 centimetros em direção à em frente, 98 centimetros em direção à avante",71F98F,"[71 centimetros em direção à em frente, 98 centimetros em direção à avante → 71F98F]"
mova-se 86 centímetro para voltar,86B,[mova-se 86 centímetro para voltar → 86B]
mova 68 mm esquerda,68L,[mova 68 mm esquerda → 68L]
mova na direção de na frente 13 m,13F,[mova na direção de na frente 13 m → 13F]
"realize movimento triplo: 86 para atrás, 39 em frente, 35 para direita",86B39F35R,"[realize movimento triplo: 86 para atrás, 39 em frente, 35 para direita → 86B39F35R]"
"31 para direita, 42 avante, 28 do lado esquerdo, 99 voltar",31R42F28L99B,"[31 para direita, 42 avante, 28 do lado esquerdo, 99 voltar → 31R42F28L99B]"
execute 31 à direita logo após 43 para trás,31R43B,[execute 31 à direita logo após 43 para trás → 31R43B]
58 centimetros na direção atrás,58B,[58 centimetros na direção atrás → 58B]
realize movimento de 86 pra trás seguido de 68 para atrás,86B68B,[realize movimento de 86 pra trás seguido de 68 para atrás → 86B68B]
desloque 52 centímetro frente,52F,[desloque 52 centímetro frente → 52F]
mova-se 56 unidades para frente,56F,[mova-se 56 unidades para frente → 56F]
"movimenta 52 voltar, 46 para atrás e 35 esquerda",52B46B35L,"[movimenta 52 voltar, 46 para atrás e 35 esquerda → 52B46B35L]"
"primeiro 22 do lado direito, depois 47 à esquerda",22R47L,"[primeiro 22 do lado direito, depois 47 à esquerda → 22R47L]"
31 m pra esquerda,31L,[31 m pra esquerda → 31L]
proceda 12 centimetro direita,12R,[proceda 12 centimetro direita → 12R]
mova 52 m lado direito,52R,[mova 52 m lado direito → 52R]
realize deslocamento de 90 centimetro para a esquerda,90L,[realize deslocamento de 90 centimetro para a esquerda → 90L]
desloque-se 30 retroceder e posteriormente 93 pra trás,30B93B,[desloque-se 30 retroceder e posteriormente 93 pra trás → 30B93B]
siga 92 frente e depois 82 lado esquerdo,92F82L,[siga 92 frente e depois 82 lado esquerdo → 92F82L]
caminha 15cm lado direito,15R,[caminha 15cm lado direito → 15R]
vai 35 para frente e 7 para esquerda,35F7L,[vai 35 para frente e 7 para esquerda → 35F7L]
94 passos para a esquerda,94L,[94 passos para a esquerda → 94L]
52 metros para atrás,52B,[52 metros para atrás → 52B]
vai 55 centímetro esquerda,55L,[vai 55 centímetro esquerda → 55L]
"execute sequência: 73 à direita, 49 para direita, 24 pra esquerda",73R49R24L,"[execute sequência: 73 à direita, 49 para direita, 24 pra esquerda → 73R49R24L]"
desloque-se 64 pra direita e posteriormente 54 para atrás,64R54B,[desloque-se 64 pra direita e posteriormente 54 para atrás → 64R54B]
mova 44 unidades esquerda,44L,[mova 44 unidades esquerda → 44L]
movimente 72 metros em frente,72F,[movimente 72 metros em frente → 72F]
"realize movimento triplo: 8 retroceder, 92 do lado direito, 80 voltar",8B92R80B,"[realize movimento triplo: 8 retroceder, 92 do lado direito, 80 voltar → 8B92R80B]"
98 mm na direção a direita,98R,[98 mm na direção a direita → 98R]
desloque 41 passos trás,41B,[desloque 41 passos trás → 41B]
dirija-se em frente 26 cm,26F,[dirija-se em frente 26 cm → 26F]
"primeiro 62 pra trás, então 20 para esquerda, finalmente 52 pra frente",62B20L52F,"[primeiro 62 pra trás, então 20 para esquerda, finalmente 52 pra frente → 62B20L52F]"
"faça 21 milímetros à esquerda, em seguida 13 milímetros voltar",21L13B,"[faça 21 milímetros à esquerda, em seguida 13 milímetros voltar → 21L13B]"
siga direita 92 milímetros,92R,[siga direita 92 milímetros → 92R]
"primeiro 93 do lado direito, depois 86 à direita",93R86R,"[primeiro 93 do lado direito, depois 86 à direita → 93R86R]"
ande 41 recuar e depois 9 adiante,41B9F,[ande 41 recuar e depois 9 adiante → 41B9F]
"faça 97 metros para frente, depois 42 metros atrás e por fim 56 metros avante",97F42B56F,"[faça 97 metros para frente, depois 42 metros atrás e por fim 56 metros avante → 97F42B56F]"
navegue 83 unidades lado direito,83R,[navegue 83 unidades lado direito → 83R]
faça movimento para frente de 87 passos,87F,[faça movimento para frente de 87 passos → 87F]
mova-se em direção à direita 2 mm,2R,[mova-se em direção à direita 2 mm → 2R]
"realize movimento triplo: 73 à frente, 46 frente, 38 do lado direito",73F46F38R,"[realize movimento triplo: 73 à frente, 46 frente, 38 do lado direito → 73F46F38R]"
"caminhe 80 para esquerdo, 55 para recuar e 18 para esquerda",80L55B18L,"[caminhe 80 para esquerdo, 55 para recuar e 18 para esquerda → 80L55B18L]"
"primeiro 87 para a direita, então 63 atrás, finalmente 48 do lado direito",87R63B48R,"[primeiro 87 para a direita, então 63 atrás, finalmente 48 do lado direito → 87R63B48R]"
vá 83 centímetros para direita,83R,[vá 83 centímetros para direita → 83R]
"71 centímetro em direção à a direita, 80 centímetro em direção à direita",71R80R,"[71 centímetro em direção à a direita, 80 centímetro em direção à direita → 71R80R]"
"execute sequência: 9 pra esquerda, 25 para direita, 97 lado esquerdo",9L25R97L,"[execute sequência: 9 pra esquerda, 25 para direita, 97 lado esquerdo → 9L25R97L]"
"22 voltar, 31 atrás, 2 avante, 22 retroceder",22B31B2F22B,"[22 voltar, 31 atrás, 2 avante, 22 retroceder → 22B31B2F22B]"
"faça 87 centímetros pra frente, e 89 centímetros para frente",87F89F,"[faça 87 centímetros pra frente, e 89 centímetros para frente → 87F89F]"
faça movimento para a direita de 72 centímetro,72R,[faça movimento para a direita de 72 centímetro → 72R]
"siga 84 atrás, 63 frente e 46 pra esquerda",84B63F46L,"[siga 84 atrás, 63 frente e 46 pra esquerda → 84B63F46L]"
"primeiro 38 em frente, depois 99 à direita",38F99R,"[primeiro 38 em frente, depois 99 à direita → 38F99R]"
movimente 92 cm esquerda,92L,[movimente 92 cm esquerda → 92L]
vai para a direita 92 m,92R,[vai para a direita 92 m → 92R]
"movimente 74 centímetros na frente, após isso 91 centímetros para atrás",74F91B,"[movimente 74 centímetros na frente, após isso 91 centímetros para atrás → 74F91B]"
"execute sequência: 71 à esquerda, 77 à frente, 96 para trás",71L77F96B,"[execute sequência: 71 à esquerda, 77 à frente, 96 para trás → 71L77F96B]"
desloque 100 unidades lado direito,100R,[desloque 100 unidades lado direito → 100R]
desloque-se 25m frente,25F,[desloque-se 25m frente → 25F]
61 m na direção direita,61R,[61 m na direção direita → 61R]
realize deslocamento de 98 passos do lado esquerdo,98L,[realize deslocamento de 98 passos do lado esquerdo → 98L]
"faça 31 mm lado direito, na sequência 58 mm esquerda",31R58L,"[faça 31 mm lado direito, na sequência 58 mm esquerda → 31R58L]"
execute movimento de 89 m em frente,89F,[execute movimento de 89 m em frente → 89F]
movimente-se 68 mm para atrás em seguida 97 mm à frente em seguida 49 mm direita,68B97F49R,[movimente-se 68 mm para atrás em seguida 97 mm à frente em seguida 49 mm direita → 68B97F49R]
movimente 1 cm para a direita,1R,[movimente 1 cm para a direita → 1R]
"70 na frente, 16 recuar, 27 pra direita, 35 atrás",70F16B27R35B,"[70 na frente, 16 recuar, 27 pra direita, 35 atrás → 70F16B27R35B]"
"faça 73 unidades esquerda, na sequência 57 unidades trás",73L57B,"[faça 73 unidades esquerda, na sequência 57 unidades trás → 73L57B]"
caminhe 93 metros para trás,93B,[caminhe 93 metros para trás → 93B]
"ande 44 pra trás, 84 à frente e 62 retroceder",44B84F62B,"[ande 44 pra trás, 84 à frente e 62 retroceder → 44B84F62B]"
mova 51 passos voltar,51B,[mova 51 passos voltar → 51B]
navegue 37 mm atrás após isso 84 mm frente após isso 54 mm recuar,37B84F54B,[navegue 37 mm atrás após isso 84 mm frente após isso 54 mm recuar → 37B84F54B]
movimente 67 centímetro para atrás,67B,[movimente 67 centímetro para atrás → 67B]
mova 49 passos lado direito em seguida 53 passos esquerda em seguida 9 passos frente,49R53L9F,[mova 49 passos lado direito em seguida 53 passos esquerda em seguida 9 passos frente → 49R53L9F]
move 2 centimetros à esquerda e 6 centimetros lado direito,2L6R,[move 2 centimetros à esquerda e 6 centimetros lado direito → 2L6R]
"90 na frente, 29 à frente",90F29F,"[90 na frente, 29 à frente → 90F29F]"
"26 frente, 5 para a esquerda",26F5L,"[26 frente, 5 para a esquerda → 26F5L]"
execute movimento de 97 centímetro adiante,97F,[execute movimento de 97 centímetro adiante → 97F]
"3 unidades em direção a esquerda, 81 unidades em direção a frente",3L81F,"[3 unidades em direção a esquerda, 81 unidades em direção a frente → 3L81F]"
"realize movimento triplo: 4 do lado esquerdo, 10 pra frente, 87 recuar",4L10F87B,"[realize movimento triplo: 4 do lado esquerdo, 10 pra frente, 87 recuar → 4L10F87B]"
"desloca 76 para a direita, depois 63 retroceder, então 26 na frente e finalmente 41 à frente",76R63B26F41F,"[desloca 76 para a direita, depois 63 retroceder, então 26 na frente e finalmente 41 à frente → 76R63B26F41F]"
desloque 25 passos lado esquerdo,25L,[desloque 25 passos lado esquerdo → 25L]
"faça 77 passos avante, logo após 51 passos direita",77F51R,"[faça 77 passos avante, logo após 51 passos direita → 77F51R]"
vai 73 cm frente então 9 cm à esquerda então 2 cm para frente,73F9L2F,[vai 73 cm frente então 9 cm à esquerda então 2 cm para frente → 73F9L2F]
siga 63 unidades do lado esquerdo e 25 unidades para a direita,63L25R,[siga 63 unidades do lado esquerdo e 25 unidades para a direita → 63L25R]
36 m do lado esquerdo,36L,[36 m do lado esquerdo → 36L]
"desloca 64 para frente, 55 para atrás e 66 para frente",64F55B66F,"[desloca 64 para frente, 55 para atrás e 66 para frente → 64F55B66F]"
vá 91 pra frente,91F,[vá 91 pra frente → 91F]
"execute sequência: 81 à direita, 51 pra trás, 37 à esquerda",81R51B37L,"[execute sequência: 81 à direita, 51 pra trás, 37 à esquerda → 81R51B37L]"
realize deslocamento de 99 centímetros na frente,99F,[realize deslocamento de 99 centímetros na frente → 99F]
ande 8 centímetros para trás,8B,[ande 8 centímetros para trás → 8B]
"execute 64 pra esquerda, 36 frente, 75 pra frente e 58 pra direita",64L36F75F58R,"[execute 64 pra esquerda, 36 frente, 75 pra frente e 58 pra direita → 64L36F75F58R]"
ande 45 para trás e 59 para frente,45B59F,[ande 45 para trás e 59 para frente → 45B59F]
move 77 para esquerda e 82 para na frente,77L82F,[move 77 para esquerda e 82 para na frente → 77L82F]
movimente 86 passos do lado esquerdo,86L,[movimente 86 passos do lado esquerdo → 86L]
"98 adiante, 85 para direita, 99 para frente, 14 à frente",98F85R99F14F,"[98 adiante, 85 para direita, 99 para frente, 14 à frente → 98F85R99F14F]"
"sequência completa: 46 m atrás, 51 m à direita, 10 m para direita, 92 m para frente",46B51R10R92F,"[sequência completa: 46 m atrás, 51 m à direita, 10 m para direita, 92 m para frente → 46B51R10R92F]"
move 15 passos para esquerdo,15L,[move 15 passos para esquerdo → 15L]
faça movimento recuar de 21 centimetros,21B,[faça movimento recuar de 21 centimetros → 21B]
"execute 28 lado esquerdo, 63 na frente, 21 atrás e 22 voltar",28L63F21B22B,"[execute 28 lado esquerdo, 63 na frente, 21 atrás e 22 voltar → 28L63F21B22B]"
execute 1 retroceder em seguida 38 para atrás,1B38B,[execute 1 retroceder em seguida 38 para atrás → 1B38B]
